"ITEM","TAG","IMAGE","SOUND","MARKDOWN","CONCEPT","X","Y"
"에너지","kr","","","1","1","",""
"energie","nl","","","1","1","",""
"어머니","kr","","","1","2","",""
"moeder","nl","","","1","2","",""
"이미지","kr","","","1","3","",""
"afbeelding","nl","","","1","3","",""
"메시지","kr","","","1","4","",""
"bericht","nl","","","1","4","",""
"나머지","kr","","","1","5","",""
"rest","nl","","","1","5","",""
"면","kr","","","2","6","",""
"katoen","nl","","","2","6","",""
"사정","kr","","","2","7","",""
"omstandigheden","nl","","","2","7","",""
"화장실","kr","","","2","8","",""
"badkamer","nl","","","2","8","",""
"목요일","kr","","","2","9","",""
"donderdag","nl","","","2","9","",""
"사탕","kr","","","2","10","",""
"suiker","nl","","","2","10","",""
"기후","kr","","","3","11","",""
"klimaat","nl","","","3","11","",""
"기차","kr","","","3","12","",""
"trein","nl","","","3","12","",""
"기도","kr","","","3","13","",""
"gebed","nl","","","3","13","",""
"기회","kr","","","3","14","",""
"kans","nl","","","3","14","",""
"기대","kr","","","3","15","",""
"verwachting","nl","","","3","15","",""
"문","kr","","","4","16","",""
"deur","nl","","","4","16","",""
"시장","kr","","","4","17","",""
"burgemeester","nl","","","4","17","",""
"미용실","kr","","","4","18","",""
"schoonheidssalon","nl","","","4","18","",""
"사랑","kr","","","4","19","",""
"liefde","nl","","","4","19","",""
"운","kr","","","4","20","",""
"geluk","nl","","","4","20","",""
"물","kr","","","5","21","",""
"water","nl","","","5","21","",""
"불","kr","","","5","22","",""
"vuur","nl","","","5","22","",""
"풀","kr","","","5","23","",""
"gras","nl","","","5","23","",""
"꿀","kr","","","5","24","",""
"honing","nl","","","5","24","",""
"줄","kr","","","5","25","",""
"manier","nl","","","5","25","",""
"분","kr","","","6","26","",""
"minuut","nl","","","6","26","",""
"내용물","kr","","","6","27","",""
"inhoud","nl","","","6","27","",""
"사장","kr","","","6","28","",""
"baas","nl","","","6","28","",""
"눈","kr","","","6","29","",""
"ogen","nl","","","6","29","",""
"화요일","kr","","","6","30","",""
"dinsdag","nl","","","6","30","",""
